Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_879.jpg;0;0.2005075;0;0.293729;99.94008;85.91627;359.5812;50.56287;359.9861
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_45_944.jpg;0;0.3943163;0;0.3265546;99.9533;85.93236;359.6765;50.57622;359.9845
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_010.jpg;0;0.6003041;0;0.331196;99.97206;85.95516;359.8374;50.4912;359.9825
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_081.jpg;0;0.8048661;0;0.3543694;99.98846;85.97505;0.03054087;50.46341;359.9813
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_146.jpg;0;1;0;0.4130878;100.0075;85.99805;0.2970887;50.26388;359.981
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_212.jpg;0;1;0;0.4723572;100.0364;86.03314;0.714368;50.05457;-0.0008397516
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_278.jpg;0;1;0;0.5217491;100.0606;86.06187;1.02692;50.10958;-0.00130651
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_348.jpg;0;1;0;0.5800169;100.0862;86.09228;1.305506;50.06279;-0.0004447447
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_411.jpg;0;1;0;0.6381673;100.1191;86.13121;1.270978;50.01176;-0.003109541
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_480.jpg;0;1;0;0.6931941;100.1447;86.16158;1.097562;49.92033;0.0002382199
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_535.jpg;0;1;0;0.7410676;100.1633;86.18357;1.025934;49.95265;-0.0004902246
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_576.jpg;0;1;0;0.7907106;100.1942;86.22011;1.004598;49.93476;0.0001723553
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_646.jpg;0;1;0;0.8490448;100.2275;86.25941;1.036468;49.90239;-0.0001454054
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_714.jpg;0;1;0;0.8895358;100.275;86.31544;1.130846;49.81307;0.0005470553
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_777.jpg;0;1;0;0.9322416;100.3132;86.3604;1.236174;49.78853;-0.0007293458
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_847.jpg;0;1;0;1.000255;100.3528;86.40688;1.292092;49.73883;-0.0005296076
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_912.jpg;0;1;0;1.049114;100.4071;86.4706;1.22964;49.6878;-0.0001961463
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_46_980.jpg;0;1;0;1.098237;100.4503;86.52122;1.204272;49.70072;-0.0005174477
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_043.jpg;0;1;0;1.159614;100.4959;86.57458;1.222276;49.69219;-0.0008006483
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_110.jpg;0;1;0;1.207853;100.5592;86.64865;1.229737;49.68327;-0.0009010187
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_181.jpg;0;1;0;1.255848;100.6089;86.70681;1.235233;49.65541;-0.0007246486
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_247.jpg;0;1;0;1.319755;100.6605;86.76708;1.236928;49.63468;-0.000715282
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_313.jpg;0;1;0;1.367879;100.7322;86.85078;1.240062;49.6083;-0.0008510649
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_378.jpg;0;1;0;1.416545;100.7882;86.91608;1.244853;49.5932;-0.0009390791
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_444.jpg;0;1;0;1.478354;100.8461;86.98349;1.248039;49.57975;-0.0009550123
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_512.jpg;0;1;0;1.525223;100.9261;87.07668;1.253673;49.5625;-0.0009601649
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_579.jpg;0;1;0;1.572566;100.9882;87.14908;1.260459;49.54975;-0.000966759
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_646.jpg;0;1;0;1.633595;101.0522;87.22348;1.261849;49.53931;-0.0009822912
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_713.jpg;0;1;0;1.6797;101.1403;87.32599;1.268726;49.52547;-0.001030304
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_777.jpg;0;1;0;1.726468;101.2086;87.4053;1.273104;49.51347;-0.001026436
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_847.jpg;0;1;0;1.787568;101.2786;87.48667;1.277118;49.50201;-0.001053605
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_911.jpg;0;1;0;1.833089;101.3748;87.59837;1.283622;49.4888;-0.001082777
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_47_980.jpg;0;1;0;1.878487;101.449;87.68452;1.286855;49.47697;-0.001075946
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_046.jpg;0;0.7952069;0;1.935575;101.5249;87.77257;1.289999;49.46669;-0.001113149
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_112.jpg;0;0.6050105;0;1.96768;101.6278;87.89194;1.278956;49.45635;-0.0005549577
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_176.jpg;0;0.806843;0;1.994244;101.7065;87.98313;1.280884;49.44439;-0.0005942415
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_243.jpg;0;1;0;2.042456;101.7868;88.0762;1.29948;49.43126;-0.001036294
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_314.jpg;0;1;0;2.086353;101.8963;88.20313;1.305937;49.41289;-0.001161567
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_377.jpg;0;1;0;2.130941;101.9805;88.30062;1.306802;49.40117;-0.001183024
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_443.jpg;0;1;0;2.190048;102.0666;88.40015;1.31148;49.38916;-0.00120846
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_520.jpg;0;1;0;2.233487;102.1839;88.53591;1.315141;49.37445;-0.00121975
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_558.jpg;0;1;0;2.263523;102.2438;88.60514;1.31887;49.36674;-0.001233069
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_629.jpg;0;1;0;2.321282;102.335;88.71056;1.320225;49.35608;-0.001238674
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_696.jpg;0;1;0;2.365615;102.4594;88.85421;1.324784;49.34017;-0.00126499
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_764.jpg;0;1;0;2.423437;102.5547;88.96426;1.331623;49.32902;-0.001306733
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_829.jpg;0;1;0;2.466958;102.6843;89.11389;1.329945;49.31354;-0.001294856
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_895.jpg;0;1;0;2.510006;102.7837;89.22843;1.332451;49.30173;-0.001308415
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_48_959.jpg;0;1;0;2.567178;102.8847;89.34492;1.337044;49.2901;-0.001323336
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_030.jpg;0;1;0;2.609912;103.0221;89.50321;1.344391;49.27478;-0.001361984
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_093.jpg;-2.897835;1;0;2.652452;103.1278;89.62332;1.340892;49.06378;-0.0002722149
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_163.jpg;-5.878051;1;0;2.695028;103.2369;89.74369;1.3348;48.48378;0.001308363
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_230.jpg;-8.905771;1;0;2.748414;103.3887;89.90308;1.312526;47.13033;359.9702
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_293.jpg;-5.824967;1;0;2.788722;103.5063;90.02274;1.285419;46.10521;359.9361
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_360.jpg;-2.933479;1;0;2.831478;103.6259;90.14384;1.251913;45.42001;359.931
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_429.jpg;0;1;0;2.887976;103.7475;90.26696;1.236943;45.10766;359.9431
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_496.jpg;0;1;0;2.928596;103.9129;90.43465;1.271849;45.04571;359.9698
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_653.jpg;0;1;0;2.969157;104.2545;90.77891;1.393373;45.06323;-0.002475982
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_709.jpg;0;1;0;3.078609;104.3857;90.90984;1.374507;45.04867;-0.001635767
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_777.jpg;0;1;0;3.121292;104.5191;91.04254;1.372872;45.03385;-0.0009982411
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_844.jpg;0;1;0;3.174188;104.6544;91.17697;1.384852;45.0141;-0.001541138
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_909.jpg;0;1;0;3.214995;104.7915;91.31297;1.388688;44.99909;-0.001564359
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_49_978.jpg;0;1;0;3.255667;104.9769;91.49683;1.387342;44.98255;-0.001110071
